uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"64578b52-be8f-41e9-8a6e-22f9ac033beb","ABBY_001.tickPlot.tck","ABBY","D16","ABBY_001","2025-07-02T15:46Z","2025-11-03T17:00Z","ABBY_001.20250702","ABBY_001.20250702.HAELEP.N","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",2,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"09b0feab-84c5-4bcf-b8cc-ec9e17d80499","ABBY_002.tickPlot.tck","ABBY","D16","ABBY_002","2025-07-02T18:04Z","2025-11-04T17:00Z","ABBY_002.20250702","ABBY_002.20250702.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"4b93fe2f-86a6-44b1-bb2e-f3f73ba290c2","ABBY_002.tickPlot.tck","ABBY","D16","ABBY_002","2025-07-02T18:04Z","2025-11-04T17:00Z","ABBY_002.20250702","ABBY_002.20250702.IXOANG.F","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"9b9e6f7a-46d8-4812-adce-cd223ba62363","ABBY_003.tickPlot.tck","ABBY","D16","ABBY_003","2025-07-03T15:39Z","2025-11-03T17:00Z","ABBY_003.20250703","ABBY_003.20250703.HAELEP.N","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",2,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"31b4425c-2206-4808-8548-4b994ea29fd7","ABBY_003.tickPlot.tck","ABBY","D16","ABBY_003","2025-07-03T15:39Z","2025-11-03T17:00Z","ABBY_003.20250703","ABBY_003.20250703.IXOANG.N","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"6532a7dd-7f61-432b-9087-55153191ded9","ABBY_023.tickPlot.tck","ABBY","D16","ABBY_023","2025-07-03T17:21Z","2025-11-03T17:00Z","ABBY_023.20250703","ABBY_023.20250703.IXOPAC.N","Ixodes pacificus","IXOPAC","species","Ixodidae",,,,"Ixodes",,"pacificus",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Cooley & Kohls","Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"859253c3-dbf1-4b57-9937-f466cc73f5b0","ABBY_023.tickPlot.tck","ABBY","D16","ABBY_023","2025-07-03T17:21Z","2025-11-03T17:00Z","ABBY_023.20250703","ABBY_023.20250703.IXOPAC.M","Ixodes pacificus","IXOPAC","species","Ixodidae",,,,"Ixodes",,"pacificus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Cooley & Kohls","Male",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"f6b4c747-ed0e-414a-b515-c74089df4591","ABBY_023.tickPlot.tck","ABBY","D16","ABBY_023","2025-07-03T17:21Z","2025-11-03T17:00Z","ABBY_023.20250703","ABBY_023.20250703.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"a4824017-36d9-4cb6-85ca-590442028220","ABBY_077.tickPlot.tck","ABBY","D16","ABBY_077","2025-07-03T18:54Z","2025-11-03T17:00Z","ABBY_077.20250703","ABBY_077.20250703.IXOPAC.N","Ixodes pacificus","IXOPAC","species","Ixodidae",,,,"Ixodes",,"pacificus",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Cooley & Kohls","Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"cc4a8d12-4aca-43ff-aa98-fcd6385b033a","ABBY_077.tickPlot.tck","ABBY","D16","ABBY_077","2025-07-03T18:54Z","2025-11-03T17:00Z","ABBY_077.20250703","ABBY_077.20250703.IXOPAC.F","Ixodes pacificus","IXOPAC","species","Ixodidae",,,,"Ixodes",,"pacificus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Cooley & Kohls","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"a5851568-5c0a-4fec-8d6f-47000aab9c3f","ABBY_001.tickPlot.tck","ABBY","D16","ABBY_001","2025-07-14T15:50Z","2025-11-04T17:00Z","ABBY_001.20250714","ABBY_001.20250714.IXOANG.M","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Male",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"058bf84e-312c-4de9-9276-7771d1b5cac8","ABBY_077.tickPlot.tck","ABBY","D16","ABBY_077","2025-07-14T19:34Z","2025-11-04T17:00Z","ABBY_077.20250714","ABBY_077.20250714.IXOPAC.N","Ixodes pacificus","IXOPAC","species","Ixodidae",,,,"Ixodes",,"pacificus",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Cooley & Kohls","Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"4eaf436a-9a63-40cb-bdd1-5bbfa9e4a74b","ABBY_077.tickPlot.tck","ABBY","D16","ABBY_077","2025-07-14T19:34Z","2025-11-04T17:00Z","ABBY_077.20250714","ABBY_077.20250714.IXOANG.F","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"7d56b6b7-8010-4bcd-9ddc-d4b66c15ee10","ABBY_002.tickPlot.tck","ABBY","D16","ABBY_002","2025-07-14T19:54Z","2025-11-03T17:00Z","ABBY_002.20250714","ABBY_002.20250714.IXOANG.F","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"eb961b90-cd3f-4531-9aae-9c5f7b629145","ABBY_002.tickPlot.tck","ABBY","D16","ABBY_002","2025-07-14T19:54Z","2025-11-03T17:00Z","ABBY_002.20250714","ABBY_002.20250714.IXOANG.M","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Male",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
